country,indicator,period,value,unit,source,status
CRI,EG.FEC.RNEW.ZS,2003,33.3,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CRI,EG.FEC.RNEW.ZS,2004,39.2,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CRI,EG.FEC.RNEW.ZS,2005,41.7,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CRI,EG.FEC.RNEW.ZS,2006,42.4,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CRI,EG.FEC.RNEW.ZS,2007,41.2,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CRI,EG.FEC.RNEW.ZS,2008,40.7,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CRI,EG.FEC.RNEW.ZS,2009,40.7,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CRI,EG.FEC.RNEW.ZS,2010,40.4,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CRI,EG.FEC.RNEW.ZS,2011,38,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CRI,EG.FEC.RNEW.ZS,2012,38.1,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CRI,EG.FEC.RNEW.ZS,2013,37.8,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CRI,EG.FEC.RNEW.ZS,2014,37.6,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CRI,EG.FEC.RNEW.ZS,2015,38.3,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CRI,EG.FEC.RNEW.ZS,2016,34.1,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CRI,EG.FEC.RNEW.ZS,2017,33.3,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CRI,EG.FEC.RNEW.ZS,2018,33.1,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CRI,EG.FEC.RNEW.ZS,2019,33.4,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CRI,EG.FEC.RNEW.ZS,2020,36.4,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CRI,EG.FEC.RNEW.ZS,2021,34.2,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CZE,EG.FEC.RNEW.ZS,2000,5.9,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CZE,EG.FEC.RNEW.ZS,2001,6.3,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CZE,EG.FEC.RNEW.ZS,2002,7.3,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CZE,EG.FEC.RNEW.ZS,2003,6.7,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CZE,EG.FEC.RNEW.ZS,2004,7.1,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CZE,EG.FEC.RNEW.ZS,2005,7.5,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CZE,EG.FEC.RNEW.ZS,2006,7.9,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CZE,EG.FEC.RNEW.ZS,2007,8.3,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CZE,EG.FEC.RNEW.ZS,2008,9,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CZE,EG.FEC.RNEW.ZS,2009,10.2,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CZE,EG.FEC.RNEW.ZS,2010,10.9,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CZE,EG.FEC.RNEW.ZS,2011,12.2,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CZE,EG.FEC.RNEW.ZS,2012,12.8,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CZE,EG.FEC.RNEW.ZS,2013,13.9,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CZE,EG.FEC.RNEW.ZS,2014,14.8,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CZE,EG.FEC.RNEW.ZS,2015,14.8,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CZE,EG.FEC.RNEW.ZS,2016,14.8,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CZE,EG.FEC.RNEW.ZS,2017,14.5,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CZE,EG.FEC.RNEW.ZS,2018,14.7,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CZE,EG.FEC.RNEW.ZS,2019,15.9,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CZE,EG.FEC.RNEW.ZS,2020,17,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
CZE,EG.FEC.RNEW.ZS,2021,17.2,% of final energy consumption,wdi_EG.FEC.RNEW.ZS,published observation / estimate; see metadata
