id,name,chamber,party,state,electorate,occupation,sector_hint,source
BU8,"LEIGH, the Hon. Dr Andrew Keith",Member,Australian Labor Party,ACT,Fenner,Professor of Economics at the Australian National University from 2004 to 2010.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/BU8
BU8,"LEIGH, the Hon. Dr Andrew Keith",Member,Australian Labor Party,ACT,Fenner,"Research Fellow at the Progressive Policy Institute, Washington DC, 2001.",Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/BU8
BU8,"LEIGH, the Hon. Dr Andrew Keith",Member,Australian Labor Party,ACT,Fenner,Senior Trade Adviser to Senator the Hon. P Cook from 1998 to 2000.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/BU8
BU8,"LEIGH, the Hon. Dr Andrew Keith",Member,Australian Labor Party,ACT,Fenner,High Court Associate to Justice Michael Kirby from 1997 to 1998.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/BU8
BU8,"LEIGH, the Hon. Dr Andrew Keith",Member,Australian Labor Party,ACT,Fenner,Lawyer at Minter Ellison in Sydney and London from 1995 to 1997.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/BU8
300644,"LIDDLE, Kerrynne Jeanette",Senator,Liberal Party of Australia,SA,,Business Owner,Private enterprise (explicit role),https://handbook.aph.gov.au/parliamentarians/300644
300130,"LIM, Sam",Member,Australian Labor Party,WA,Tangney,Police Officer from 6.11.2006 to 20.5.2022.,Public service / defence (explicit role),https://handbook.aph.gov.au/parliamentarians/300130
300130,"LIM, Sam",Member,Australian Labor Party,WA,Tangney,Patrol and Security Officer from 2005 to 2006.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/300130
300130,"LIM, Sam",Member,Australian Labor Party,WA,Tangney,Business Owner from 29.2.1988 to 2005.,Private enterprise (explicit role),https://handbook.aph.gov.au/parliamentarians/300130
300130,"LIM, Sam",Member,Australian Labor Party,WA,Tangney,Dolphin Trainer from 1980 to 1984.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/300130
300130,"LIM, Sam",Member,Australian Labor Party,WA,Tangney,Police Officer from 1980 to 1981.,Public service / defence (explicit role),https://handbook.aph.gov.au/parliamentarians/300130
112096,"LINES, the Hon. Susan (Sue)",Senator,Australian Labor Party,WA,,Assistant Secretary of United Voice from 2007 to 2013.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/112096
112096,"LINES, the Hon. Susan (Sue)",Senator,Australian Labor Party,WA,,Assistant Secretary of United Voice (WA) from 2001 to 2007.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/112096
112096,"LINES, the Hon. Susan (Sue)",Senator,Australian Labor Party,WA,,Organiser for United Voice from 1987 to 2001.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/112096
112096,"LINES, the Hon. Susan (Sue)",Senator,Australian Labor Party,WA,,Community organiser from 1985 to 1987.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/112096
112096,"LINES, the Hon. Susan (Sue)",Senator,Australian Labor Party,WA,,Teacher from 1984 to 1985.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/112096
265585,"LITTLEPROUD, the Hon. David Kelly",Member,The Nationals,Qld,Maranoa,Banking and finance from 1994 to 2016.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/265585
265585,"LITTLEPROUD, the Hon. David Kelly",Member,The Nationals,Qld,Maranoa,"Cotton Chipper, 1993.",Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/265585
HWQ,"MARLES, the Hon. Richard Donald",Member,Australian Labor Party,Vic,Corio,Assistant Secretary of the Australian Council of Trade Unions from 2000 to 2007.,Union / worker organisation,https://handbook.aph.gov.au/parliamentarians/HWQ
HWQ,"MARLES, the Hon. Richard Donald",Member,Australian Labor Party,Vic,Corio,Assistant Secretary of the Transport Workers' Union from 1998 to 2000.,Union / worker organisation,https://handbook.aph.gov.au/parliamentarians/HWQ
HWQ,"MARLES, the Hon. Richard Donald",Member,Australian Labor Party,Vic,Corio,Legal Officer for the Transport Workers' Union from 1994 to 1998.,Union / worker organisation,https://handbook.aph.gov.au/parliamentarians/HWQ
HWQ,"MARLES, the Hon. Richard Donald",Member,Australian Labor Party,Vic,Corio,Solicitor from 1993 to 1994.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/HWQ
298800,"MASCARENHAS, Zaneta Felice Antoinetta",Member,Australian Labor Party,WA,Swan,WA Manager for Energetics from 2019 to 2022.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/298800
298800,"MASCARENHAS, Zaneta Felice Antoinetta",Member,Australian Labor Party,WA,Swan,WA Team Leader for Energetics from 2013 to 2019.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/298800
298800,"MASCARENHAS, Zaneta Felice Antoinetta",Member,Australian Labor Party,WA,Swan,Manager for Energetics from 2012 to 2013.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/298800
298800,"MASCARENHAS, Zaneta Felice Antoinetta",Member,Australian Labor Party,WA,Swan,National Vice-President of Professionals Australia from 2012 to 2013.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/298800
298800,"MASCARENHAS, Zaneta Felice Antoinetta",Member,Australian Labor Party,WA,Swan,"President of Professionals Australia (WA Branch), 2011.",Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/298800
298800,"MASCARENHAS, Zaneta Felice Antoinetta",Member,Australian Labor Party,WA,Swan,Member of the Professionals Australia Executive (WA Branch) from 2009 to 2010.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/298800
298800,"MASCARENHAS, Zaneta Felice Antoinetta",Member,Australian Labor Party,WA,Swan,Senior Consultant for Energetics from 2009 to 2012.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/298800
298800,"MASCARENHAS, Zaneta Felice Antoinetta",Member,Australian Labor Party,WA,Swan,Presenter for The Climate Reality Project from 2009 to 2022.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/298800
298800,"MASCARENHAS, Zaneta Felice Antoinetta",Member,Australian Labor Party,WA,Swan,Process Engineer for GHD from 2008 to 2009.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/298800
298800,"MASCARENHAS, Zaneta Felice Antoinetta",Member,Australian Labor Party,WA,Swan,Communications Consultant for the Water and Sanitation Program (WSP) of the World Bank from 2007 to 2008.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/298800
298800,"MASCARENHAS, Zaneta Felice Antoinetta",Member,Australian Labor Party,WA,Swan,Process Engineer for Iluka Resources from 2005 to 2007.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/298800
298800,"MASCARENHAS, Zaneta Felice Antoinetta",Member,Australian Labor Party,WA,Swan,President of the National Union of Students (WA Branch) from 2003 to 2004.,Union / worker organisation,https://handbook.aph.gov.au/parliamentarians/298800
